========================================
QS complex  d=20  N=861  rng(1)
Started: 2026-05-10 03:05:49
========================================

--- 生成约束矩阵 ---
qsmom_complex: n=861, m=606452 (5220.39s)
convertCtoR:   n_r=1722, m_r=606452

--- ManiCSDP (complex SDP) ---
ManiCSDP is starting...
CSDP size: n = 861, m = 606452
Iter 81, obj:-50.24213021, gap:5.8e-03, pinf:4.7e-03, dinf:9.6e-05, gradnorm:1.2e-01, r:102, p:137, sigma:32.000, time:215.85s
Iter 82, obj:-50.08458459, gap:4.0e-03, pinf:4.0e-03, dinf:1.1e-04, gradnorm:1.1e-01, r:85, p:108, sigma:32.000, time:219.59s
Iter 83, obj:-49.92897327, gap:2.5e-03, pinf:3.4e-03, dinf:1.4e-04, gradnorm:8.3e-02, r:73, p:91, sigma:32.000, time:223.09s
Iter 84, obj:-49.85208873, gap:1.9e-03, pinf:2.9e-03, dinf:1.6e-04, gradnorm:6.2e-02, r:64, p:79, sigma:32.000, time:226.49s
Iter 85, obj:-49.80433670, gap:1.4e-03, pinf:2.5e-03, dinf:1.8e-04, gradnorm:5.3e-02, r:58, p:70, sigma:32.000, time:229.81s
Iter 86, obj:-49.77998172, gap:1.2e-03, pinf:2.2e-03, dinf:2.0e-04, gradnorm:4.7e-02, r:54, p:64, sigma:32.000, time:233.15s
Iter 87, obj:-49.76611305, gap:1.1e-03, pinf:1.9e-03, dinf:2.0e-04, gradnorm:4.2e-02, r:53, p:60, sigma:32.000, time:236.37s
Iter 88, obj:-49.76471401, gap:1.1e-03, pinf:1.7e-03, dinf:2.0e-04, gradnorm:3.8e-02, r:49, p:59, sigma:32.000, time:239.55s
Iter 89, obj:-49.75307361, gap:9.9e-04, pinf:1.5e-03, dinf:2.0e-04, gradnorm:3.1e-02, r:44, p:55, sigma:32.000, time:242.56s
Iter 90, obj:-49.74658341, gap:9.4e-04, pinf:1.4e-03, dinf:2.0e-04, gradnorm:2.8e-02, r:38, p:50, sigma:32.000, time:245.55s
Iter 91, obj:-49.75252438, gap:1.0e-03, pinf:1.3e-03, dinf:1.9e-04, gradnorm:2.6e-02, r:34, p:44, sigma:32.000, time:248.42s
Iter 92, obj:-49.74479866, gap:9.6e-04, pinf:1.1e-03, dinf:2.1e-04, gradnorm:3.7e-02, r:32, p:40, sigma:64.000, time:251.23s
Iter 93, obj:-49.75090643, gap:1.0e-03, pinf:1.0e-03, dinf:2.2e-04, gradnorm:4.5e-02, r:24, p:38, sigma:64.000, time:254.00s
Iter 94, obj:-49.72432330, gap:7.1e-04, pinf:9.1e-04, dinf:2.4e-04, gradnorm:3.9e-02, r:21, p:30, sigma:64.000, time:256.71s
Iter 95, obj:-49.71792077, gap:6.3e-04, pinf:8.9e-04, dinf:2.4e-04, gradnorm:3.5e-02, r:19, p:27, sigma:64.000, time:259.37s
Iter 96, obj:-49.71137176, gap:5.6e-04, pinf:8.7e-04, dinf:2.4e-04, gradnorm:3.1e-02, r:16, p:25, sigma:64.000, time:262.04s
Iter 97, obj:-49.70575399, gap:5.1e-04, pinf:8.5e-04, dinf:2.4e-04, gradnorm:2.7e-02, r:15, p:22, sigma:64.000, time:264.67s
Iter 98, obj:-49.70302057, gap:5.0e-04, pinf:8.3e-04, dinf:2.4e-04, gradnorm:2.2e-02, r:13, p:21, sigma:64.000, time:267.31s
Iter 99, obj:-49.69891952, gap:5.0e-04, pinf:8.3e-04, dinf:2.3e-04, gradnorm:2.5e-02, r:13, p:19, sigma:64.000, time:269.91s
Iter 100, obj:-49.70317089, gap:5.0e-04, pinf:8.2e-04, dinf:2.4e-04, gradnorm:2.3e-02, r:13, p:19, sigma:64.000, time:272.54s
Iter 101, obj:-49.70048457, gap:5.0e-04, pinf:8.2e-04, dinf:2.3e-04, gradnorm:2.0e-02, r:11, p:19, sigma:64.000, time:275.16s
Iter 102, obj:-49.69491072, gap:4.5e-04, pinf:8.0e-04, dinf:2.2e-04, gradnorm:2.1e-02, r:11, p:17, sigma:64.000, time:277.75s
